recipe_id,recipe_name,han_score_raw,han_score
153,Stuffed Mooli Paneer Paratha Recipe,0.032643147,0.7649792
154,Carrot Soup Recipe,0.03347855,0.7757916
155,Fusilli Pasta Recipe In A Spicy Roasted Beetroot Sauce,0.034037665,0.783028
156,Kumbalakai Majjige Huli Recipe- Ash Gourd Buttermilk Curry,0.03542337,0.8009628
157,Andhra Style Bangaladumpa Vepudu Recipe - Potato Fry Recipe,0.034327332,0.7867771
158,Methi Murgh Recipe - Chicken with Fenugreek Leaves,0.017203141,0.5651435
159,Shrimp Sambal Recipe,0.014765579,0.53359485
160,Chanar Dalna Recipe -Bengali Style Paneer & Potato Gravy,0.03335237,0.7741585
161,Murungai Keerai Thanni Saaru Recipe-Drumstick Leaves Soup,0.036972616,0.8210143
162,"Barley Salad With Mint, Cucumber & Olives",0.034016956,0.78275996
163,Kothavarangai Paruppu Usili Recipe - Gawar Phali Dal Sabzi,0.031062912,0.7445266
164,Shimla Mirchi Panchamrut Recipe | Konkani Capsicum Cashew Peanut Sabzi,0.034827925,0.79325616
165,Dhaba Style Dal Fry Recipe | Mixed Dal Tadka,0.03449161,0.7889033
166,Methi Shakarkand Aloo Sabzi Recipe - Sweet Potato & Fenugreek Leaves Sabzi,0.033197477,0.77215374
167,Palak Chole Recipe (Spinach & Chickpea Curry),0.031506795,0.7502717
168,Nepalese Style Dhal Bhat Recipe,0.034319945,0.7866815
169,Basil Pesto Bombs Recipe,0.033798657,0.77993464
170,15 Minutes Mexican Fried Rice Recipe,0.03390548,0.7813172
171,Kondai Kadalai Puli Kuzhambu Recipe -Tangy South Indian Kala Chana Curry,0.03154719,0.7507945
172,Jaisalmer Kala Chana Kadhi Recipe - Rajasthani Chickpea Curry,0.030118339,0.7323013
173,Cheesy Mushroom Quesadilla Recipe,0.03690264,0.8201086
174,Zucchini Tater Tots Recipe - A Delicious Party Appetizer,0.032450162,0.7624814
175,Kashmiri Style Shami Mutsch Recipe - Minced Lamb Cutlets In Yogurt Gravy,0.032489073,0.76298505
176,Maharashtrian Kolambi Che Lonche Recipe (Prawns In Pickle Masala),0.03609884,0.80970526
177,Shahi Paneer Recipe,0.032443464,0.7623947
178,Chicken Schezwan Momo - Steamed Chicken Dumpling Recipe,0.036296405,0.81226224
179,Maharastrian Style Kurkure Batate Recipe (Spicy & Crispy Roasted Potatoes),0.036451653,0.8142716
180,Roasted Garlic Potato Soup Recipe,0.034343887,0.78699136
181,Protein Fingers Recipe,0.019091465,0.5895836
182,Pearl Millet Pancake With Walnuts & Nutella (Bajra Millet),0.032528367,0.7634936
183,Karnataka Style Chicken Saaru Recipe,0.01991057,0.60018504
184,Chow Chow Thakkali Kootu Recipe - Chayote Squash In Dal Coconut Curry,0.034438167,0.7882116
185,Tofu Green Pulao Recipe,0.035935707,0.8075939
186,Thai Chicken Massaman Curry Recipe,0.03583301,0.80626464
187,Leftover Dal Paratha Recipe,0.03332601,0.7738173
188,Hash Brown With Spinach & Cheese Recipe,0.03295917,0.7690694
189,Kathirikai Urulai Kizhangu Kara Kuzhambu Recipe,0.03726403,0.82478595
190,Sakkarai Pongal Recipe - Sweetened Rice And Jaggery Pudding Recipe,0.034671333,0.7912294
191,Sweet Avalakki pongal Pongal Recipe - Sweetened Rice And Jaggery Pudding Recipe,0.033000186,0.7696002
192,Watermelon Pizza Recipe,0.03415662,0.78456765
193,Spinach And Ricotta Dumplings Recipe In Cheese Sauce,0.038368613,0.8390823
194,Rajasthani Korma Roti Recipe,0.033038307,0.7700936
195,Stuffed Yellow Moong Dal And Onion Paratha Recipe,0.032758538,0.76647264
196,Asian Shrimp Rice Burger Recipe,0.032400772,0.7618422
197,Potato Stuffed Dal Dhokli Recipe,0.034227796,0.78548884
198,Twin In One Bread Loaf Recipe,0.032379083,0.76156145
199,Lebanese Fattoush Salad Recipe,0.033626374,0.7777048
200,Cheese Balls With Capsicum Recipe,0.03270498,0.76577944
201,Chapor Ghonto Recipe - Bengali Mix Vegetable With Lentils Patties,0.033644114,0.77793443
202,Achari Gosht Recipe,0.035020035,0.7957426
203,Chickpea & Date Tagine Recipe,0.02959567,0.7255365
204,Corn & Soy Quesadillas with Spicy Mexican Salsa,0.03481089,0.7930356
205,Mexican Chicken Soup Recipe,0.03543789,0.80115074
206,Light And Healthy Spinach Soup Recipe,0.034429137,0.78809476
207,Masala Karela Recipe,0.034813378,0.7930679
208,Kashmiri Style Haak T Thool Recipe - Greens Cooked With Eggs,0.030009057,0.7308869
209,Manipuri Style Sana Thongpa Recipe-Paneer and Green Beans in Milk Gravy Recipe,0.036996797,0.82132727
210,Urulaikizhangu Podi Poriyal Recipe (Spicy Potato Sabzi from Tamil Nadu),0.037222225,0.8242449
211,Lauki Chana Dal Recipe | Dudhi Chana Dal | High Protein Bottle Gourd Lentil Curry,0.035270497,0.7989842
212,Slow Cooker Mexican Chicken Stew Recipe,0.032951042,0.7689642
213,Kerala Style Varutharacha Mutta Curry Recipe,0.031675544,0.7524558
214,Lehsuni Moong Dal Tadka Recipe,0.03167284,0.7524207
215,Chinese Vegetable Fried Rice With Red Cabbage/ Purple Cabbage,0.033160936,0.7716808
216,Doi Ilish Recipe - Bengali Style Hilsa In Yogurt Gravy Recipe,0.016213201,0.55233103
217,Keeme Ja Bhalla Recipe - Sindhi Mutton Keema Balls In Gravy,0.030598372,0.73851424
218,Homemade Baked Beans Recipe (Wholesome & Healthy),0.027613152,0.6998774
219,Chinese Vegetarian Fried Rice With Apples Recipe,0.034997743,0.795454
220,Potato Sweet Corn & Cheese Cutlet - Cheesy Sweet Corn Patty,0.03471643,0.7918131
221,Mambazha Pulissery Recipe - Mango Mor Kuzhambu Recipe,0.03533998,0.79988354
222,Pull Apart Bread With Basil Pesto Recipe,0.032157738,0.7586967
223,Sun Dried Tomato Penne Pasta Salad With Goat Cheese,0.03389359,0.7811633
224,Shehenshahi Parsi Keema Pulao Recipe,0.034547176,0.7896225
225,Udupi Red Parboiled Rice Shavige Recipe,0.03458594,0.79012424
226,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",0.033946004,0.7818417
227,Butter Chicken Recipe - The Classic Indian Chicken Gravy,0.016821327,0.5602018
228,Keerai Thoran Recipe Made Using Amaranthus Leaves,0.03568851,0.8043944
229,Chicken Pizza With Caramelised Red Onion Recipe,0.03456723,0.789882
230,Penne Arrabbiata Pasta Recipe Using Multi Millet Penne Pasta,0.032163598,0.7587725
231,Penne Pasta In Creamy Tomato Sauce Made Using Archana's Kitchen Multi Millet Penne Pasta,0.03491575,0.7943928
232,Spring Vegetables Tagliatelle Pasta in Mustard Lemon Basil Sauce,0.031450238,0.7495397
233,Manipuri Style Karotkhabi Kanghou Recipe - Bitter Gourd & Potato Stir Fry,0.037165556,0.8235114
234,Restaurant Style Green Peas Masala Recipe,0.031507496,0.75028074
235,Oats Omelette Recipe,0.03380803,0.78005594
236,Roasted Tomato & Tortellini Soup Recipe,0.03549645,0.8019087
237,Sesame Noodles Recipe With Napa Cabbage,0.0312878,0.7474373
238,Moroccan Spiced Millet And Lentil Salad Recipe,0.031015512,0.7439132
239,Goan Style Chicken Galinha Cafreal Recipe,0.03204444,0.7572303
240,Vietnamese Lemongrass Shrimp Skewers Recipe,0.03640358,0.8136495
241,Chettinad Chicken Roast Recipe | Chicken Ghee Roast Recipe,0.021599613,0.6220458
242,Sweet Potato And Broccoli Sabzi Recipe,0.034234468,0.7855752
243,Chilled Sweet & Sour Cucumber Noodle Salad Recipe,0.030653415,0.73922664
244,Tofu & Peanut Noodles - Spiked With Sriracha Sauce,0.03155163,0.750852
245,Spicy Chilli Garlic Noodles Recipe,0.034017008,0.7827607
246,Bangkok Coconut Curry Noodle Bowl Recipe,0.034571957,0.7899432
247,Fujian Style Noodle Recipe,0.034331467,0.7868306
248,Asian Style Chicken Noodle Soup,0.018697646,0.5844865
249,Cold Sesame Noodles Recipe,0.032743108,0.76627296
250,Thai Chicken Noodle Soup With Veggies Recipe,0.034653552,0.7909993
251,Asian Style Rice Noodle Salad Recipe With Vegetables Recipe,0.03280031,0.76701325
252,Ringan Methi Nu Shaak Recipe - Gujarati Style Eggplant & Fenugreek Leaves Sabzi,0.03664495,0.8167734
253,Vegetarian Chinese Noodle Bowl | Noodle Soup | Ramen Bowl Made Using Millet Noodles,0.033387158,0.7746087
254,Egg Kothu Paratha Recipe,0.03448577,0.7888277
255,Pasta Payasam Recipe - Fusion Payasam With Pasta,0.035441156,0.801193
256,Szechwan Hakka Noodle Momo Recipe,0.037241925,0.82449985
257,Scrambled Tofu Noodles Recipe,0.032330826,0.7609369
258,Chicken Mie Goreng Recipe - Noodles Tossed In Sriracha Sauce,0.036123592,0.8100256
259,Asian Chicken Noodle Soup Recipe,0.01658665,0.55716443
260,Indo Chinese Chicken Hakka Noodles Recipe,0.036373142,0.8132554
261,Desi Masala Pasta Recipe Made Using Archana's Kitchen Quinoa Pasta,0.031743497,0.75333524
262,Goan Style Caldinho de Abobora Branca Recipe (Mild Curry of white Pumpkin),0.03136456,0.7484308
263,Vegetarian Chinese Sizzler With Noodles & Momos Recipe,0.035937585,0.80761814
264,Shepuchi Bhaji Recipe (Stir Fried Maharashtrian Suva/Dill Greens),0.03655495,0.81560856
265,Rose Buns With Stuffed Mushroom Recipe,0.033437494,0.7752602
266,Roasted Vegetable Pesto Tart Recipe,0.034377497,0.78742635
267,Vendakkai Podi Curry Recipe - Vendakkai Poriyal,0.034018327,0.7827777
268,Mee Bakso Recipe - Indonesian Meatball Noodle Soup,0.03444253,0.7882681
269,Black Bean Noodles Recipe,0.03338392,0.77456677
270,Egg Hakka Noodles Recipes | Egg Chow Mein Made Using Millet Noodles,0.03531837,0.7996038
271,Broccoli Chilli Noodles With Grilled Salmon Recipe,0.030702604,0.7398632
272,Sweet and Spicy Millet Noodle Salad With Peanuts | Using Millet Hakka Noodles,0.030318625,0.73489356
273,Chinese Bhel Recipe - Crispy Noodle Salad Made With Millet Noodles,0.032597743,0.76439154
274,Mixed Vegetable Noodle Cutlet Recipe | Made from Millet Noodles,0.033891663,0.78113836
275,Thai Style Noodles Recipe With Spinach | Made Using Millet Noodles,0.033022083,0.76988363
276,Spicy Schezwan Vegetable Noodles Recipe | Using Millet Noodles,0.033454105,0.7754752
277,"Sesame Millet Noodle Salad with Raw Carrots, Cucumbers & Spicy Peanut Dressing",0.033057626,0.77034366
278,Thai Flavoured Vegetable Noodles In Coconut Curry Recipe,0.030675273,0.7395095
279,Noodle Sizzler With Garlic Pepper Sauce And Baked Vegetables Recipe,0.034373365,0.7873729
280,Hot and Spicy Chicken Curry Noodles Recipe,0.03478775,0.7927362
281,Veg Noodle Pakora Recipe,0.03618591,0.81083214
282,Schezwan Noodle Sandwich Recipe,0.032776836,0.76670945
283,Spicy Chow Mein Noodle Wrap Recipe,0.03201618,0.75686455
284,Sichuan Dan-Dan Noodles Recipe - Sesame Noodles With Crispy Tofu,0.029481914,0.72406423
285,Cantonese Style Ban Mian Bian Rou Recipe - Noodle Soup With Vegetable Dumplings,0.029884944,0.72928053
286,Green Spinach & Oats Cutlet Recipe,0.033936013,0.78171235
287,Assamese Style Walking Catfish In Curry Leaf Gravy Recipe,0.034864403,0.7937283
288,Baked Eggplant Stuffed with Red Lentil Hummus Recipe,0.035164014,0.79760605
289,Carrot Paruppu Usili Recipe - Steamed Lentils Crumbled With Carrots,0.03403134,0.78294617
290,Sauteed Spicy Prawns Recipe,0.036268055,0.8118954
291,Chilli Garlic Toast Recipe,0.03142605,0.7492266
292,Sprouted Horse Gram Thoran Recipe - No Onion No Garlic,0.035403464,0.8007052
293,Kashmiri Style Nadru Yakhni Recipe-Lotus Stem in Yogurt Sauce,0.034707874,0.79170233
294,"Broccoli, Carrot And Capsicum Sabzi Recipe",0.034329966,0.7868112
295,Curried Sweet Potato Mexican Fajita Recipe,0.034054615,0.7832474
296,Delicious Methi Chicken Curry - Murgh Methi Curry Recipe,0.034059912,0.78331596
297,Cream Of Mushroom & Spring Onion Soup Recipe,0.032322936,0.76083475
298,Cottage Cheese Dip Recipe With Pepper and Olives,0.03339424,0.77470034
299,Maharastrian Style Bharli Bhindi Recipe - Stuffed Bhindi With Coconut,0.035540327,0.8024766
