final_food_name,best_match_clean,matched_original_name,composite_score,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),tamarind rice,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),99.85,373.04,65.08,7.45,8.53,5.12,162.41,50.94,2.89,0.84,23.02
Fried fish (Indian style) (Tali hui machli),fried fish,Fried fish (Indian style) (Tali hui machli),99.85,658.54,5.4,4.35,68.88,0.61,156.94,11.11,0.56,7.22,35.19
Garlic soup,garlic soup,Garlic soup,99.85,194.86,6.99,2.38,17.62,1.66,179.26,60.55,0.73,11.12,21.85
Methi thepla,methi thepla,Methi thepla,99.85,346.16,41.34,8.98,15.95,7.56,543.27,73.51,4.52,1.06,15.26
Lentil soup,lentil soup,Lentil soup,99.85,31.17,3.94,9.65,11.68,2.57,10418.84,40.57,2.26,17.9,34.92
Fried Egg ,fried egg,Fried Egg ,99.85,223.67,0.31,11.59,19.62,0.29,446.96,46.4,1.69,0.0,24.77
Yam kofta curry (Zimikand/Suran kofta curry),yam kofta curry,Yam kofta curry (Zimikand/Suran kofta curry),99.44,322.88,3.75,0.71,33.84,1.04,42.22,8.35,0.31,36.07,43.47
Chicken lasagne,chicken lasagne,Chicken lasagne,98.77,187.49,13.9,10.45,10.36,0.11,238.55,119.98,0.64,4.23,61.02
Mango raita (Aam ka raita),mango raita,Mango raita (Aam ka raita),98.77,67.37,8.23,3.9,2.14,0.89,135.46,136.06,0.34,18.19,59.64
Lemon cake,lemon cake,Lemon cake,98.77,373.85,43.1,5.29,20.63,0.62,151.29,32.77,0.91,2.44,9.0
Vermicelli kheer (Semiya/Seviyan ki kheer),vermicelli kheer,Vermicelli kheer (Semiya/Seviyan ki kheer),98.77,120.07,15.87,3.35,5.0,0.5,22.52,104.8,0.3,4.06,16.29
Vegetable jalfrezi,vegetable jalfrezi,Vegetable jalfrezi,98.77,68.48,5.43,1.4,4.38,2.97,79.46,27.11,0.68,26.08,28.48
Vegetable samosa,vegetable samosa,Vegetable samosa,98.77,443.11,13.22,2.21,42.22,1.52,107.7,10.37,0.6,10.06,12.39
Coconut chutney (Nariyal ki chutney),coconut chutney,Coconut chutney (Nariyal ki chutney),98.77,265.92,8.29,3.59,25.0,6.73,428.28,15.7,1.25,4.13,4.74
Vegetable yakhni,vegetable yakhni,Vegetable yakhni,98.77,406.06,1.94,1.18,43.8,0.61,38.05,43.67,0.24,5.43,60.84
Tamarind chutney (Chintapandu pachadi/Puli chutney),tamarind chutney,Tamarind chutney (Chintapandu pachadi/Puli chutney),98.77,109.15,25.07,0.88,0.48,1.65,75.61,40.3,1.95,0.03,0.18
Banana raita (Kele ka raita),banana raita,Banana raita (Kele ka raita),98.77,89.03,13.51,4.13,2.07,1.0,135.43,133.23,0.31,5.73,27.58
Bread upma,bread upma,Bread upma,98.77,129.51,12.6,2.8,7.75,1.96,176.44,45.22,0.82,4.64,15.79
