recipe_id,recipe_name,expiry_score
10680,Meen Vevichathu Recipe - Kottayam Style Fish Curry,1.0
15958,Reshmi Kofta Recipe in Rich Cashew Gravy,1.0
16298,Kadalai Puli Kuzhambu With Mangalore Cucumber & Drumstick Recipe,1.0
9693,Chole Capsicum Masala Recipe,1.0
9700,Paneer Kofta Curry Recipe - Paneer Kofta Curry Recipe,1.0
1412,Bengali Dhokar Dalna Recipe,1.0
1794,Kollu Puli Kuzhambu Recipe - Horsegram In A Tangy Gravy,1.0
16291,Palak Paneer Recipe | Cottage Cheese In Spinach Gravy,1.0
15965,Mughlai Style Chicken Changezi Recipe,1.0
9759,Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,1.0
10507,Veg Makhanwala Recipe - North Indian Mixed Vegetables Gravy,1.0
10499,Dherosh Chingri Jhol Recipe (Bengali Style Prawn Curry With Ladies Finger),1.0
16028,Restaurant Style Chettinad Style Fish Curry Recipe,1.0
16029,Turai Moong Dal Recipe - Turia Mag Ni Dal,1.0
16145,Kadai Chole Recipe- Dry Chickpeas Masala with Capsicum,1.0
16074,Eerulli Palya Recipe - Vengaya Poriyal Recipe,1.0
10401,Chicken Tariwala Recipe - Punjabi Murgh Tariwala Recipe,1.0
16081,Murungai Keerai Thanni Saaru Recipe-Drumstick Leaves Soup,1.0
10383,Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry),1.0
1568,Spicy Tomato Rice - Tomato Pulihora Recipe,1.0
16082,Cauliflower Kurma (Tamil Nadu Restaurant Style Cauliflower Chops) Recipe,1.0
4583,Lemon Thyme Rasam Recipe,1.0
10338,Chicken Mapas Recipe - Chicken in Coconut Milk Curry,1.0
16122,Kollu Puli Kuzhambu Recipe - Horsegram In A Tangy Gravy,1.0
16120,Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry),1.0
10306,Chanar Dalna (Recipe In Hindi),1.0
16114,Chettinad Pattani Kurma Recipe - Chettinad Peas Curry,1.0
16090,Paneer Kofta Curry Recipe -Non Fried,1.0
10250,Lau Chingri Recipe (Bottle Gourd And Shrimp Curry),1.0
10258,Soya Chunks Pepper Curry Recipe,1.0
16108,Moringa Masoor Dal Recipe - Drumstick Leaves Dal,1.0
10298,Misa Maas Kordoi Tenga Recipe (Shrimp With Star Fruit Curry),1.0
1611,Karnataka Style Tamarind Gojju Recipe,1.0
1551,Mini Rava Idli With Tomato Chutney Recipe,1.0
1550,Broccoli Malai Kofta Recipe,1.0
10408,Tadkewali Masoor Dal Khichdi Recipe With Garlic & Onions,1.0
4537,Vegetable Ragi & Oats Uttapam Recipe,1.0
10498,Roasted Onion Gosht Recipe - Mutton Curry with Roasted Onion & Spices,1.0
16179,Bengali Style Kanch kolar Kofta Curry Recipe (Green Plantain Kofta Curry Recipe),1.0
1518,Andhra Style Peanut Chutney Recipe With Tomatoes,1.0
16040,Oriya Style Ghanta Tarkari Recipe (Mixed Vegetables Curry),1.0
10025,Dhaba Style Green Moong Dal Tadka Recipe,1.0
10483,Spiked Onion Casserole Recipe - Onion Casserole Recipe,1.0
1689,Thelivu Rasam Recipe,1.0
16170,Matar Masala Tofu Recipe,1.0
10062,Nihari Gosht Recipe,1.0
16061,Kashmiri Style Chokh Vangun Recipe - Baingan Masala,1.0
10097,Veg Makhanwala Recipe,1.0
16046,Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,1.0
10473,Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe),1.0
10142,Mixed Vegetable Akki Roti Recipe,1.0
1540,Vegetable Ragi & Oats Uttapam Recipe,1.0
16156,Mixed Vegetable Akki Roti Recipe,1.0
10161,Dhaba Style Dal Fry Recipe,1.0
10164,Broccoli Cream Kofta Recipe,1.0
10729,Tulsi and Betel Leaves Rasam Recipe - Tulsi and Betel Leaves Rasam Recipe,1.0
9626,Raw Mango Carrot Cucumber Salad Recipe With Peanuts,1.0
16369,Cauliflower Coconut Milk Stew Recipe,1.0
9301,Tandoori Paneer Tikka Masala Recipe - Tandoori Paneer Tikka Masala (Recipe in Hindi),1.0
9207,Tamil Nadu Style Paneer Kurma Recipe,1.0
1241,Kala Chana Masala Curry Recipe,1.0
1988,One Pot Aloo Gobi Sabzi Recipe Using Preethi Electric Pressure Cooker,1.0
9213,Aava Pettina Majjiga Pulusu Recipe - Andhra Style Mor Kuzhambu,1.0
11393,Veppam Poo Rasam Recipe (Neem flower Rasam),1.0
16701,Prawn Masala Rice Recipe,1.0
15811,Butter Chicken Recipe - The Classic Indian Chicken Gravy,1.0
9216,Attirachi Kuzhambu Recipe - Spicy Mutton Gravy,1.0
11387,Dal Banjara Recipe - Langar Wali Dal,1.0
4231,Dal Palak Recipe - Dal Palak,1.0
1260,Baked Stuffed Baati With Churma And Panchratna Dal Recipe,1.0
11350,Cauliflower Coconut Milk Stew (Recipe In Hindi),1.0
9241,Karnataka Style Mixed Vegetable Pulao Recipe,1.0
11333,Punjabi Wadi Choliya Ki Sabzi Recipe,1.0
15821,Kerala Style Chemmeen Moilee Recipe - Prawn Curry,1.0
16657,Tomato Garlic Chutney Recipe,1.0
15825,Paalkatti Chettinad Curry Recipe -Chettinad Style Paneer Kurma Recipe,1.0
11251,Restaurant Style Chettinad Style Fish Curry Recipe,1.0
4271,Oriya Style Parval Sabzi (Recipe In Hindi),1.0
1996,Thakkali Vengaya Sambar Recipe - Tomato Onion Sambar,1.0
1237,Potato And Cauliflower In Peanut Curry Recipe,1.0
2001,Dal Palak Recipe With Moong & Masoor Dal,1.0
2023,Suran Kofta Curry Recipe - Yam Kofta Curry,1.0
11554,Prawns Fried Rice Recipe,1.0
11538,Palak Pulao Recipe,1.0
4163,Maharashtrian Style Bhogichi Bhaji Recipe - Mixed Vegetable Curry,1.0
9106,Chatpatti Makai Masala Recipe - Spicy Steamed Corn Masala,1.0
2032,Aar Macher Jhol Recipe - Bengali Style Fish In Tomato Gravy,1.0
11489,Egg Pulao Recipe,1.0
11477,Chole Capsicum Masala Recipe - Chole Capsicum Masala Recipe,1.0
2025,Kashmiri Style Paneer Masala Recipe,1.0
9137,Spicy Chettinad Fish Fry Recipe,1.0
11422,Tomato Jam Recipe,1.0
4198,Vazhaithandu Lemon Rasam Recipe - Banana Stem Lemon Rasam,1.0
11458,Goan Kaju Curry Recipe,1.0
16825,Kakrar Jhal (Bengali Crab Korma Recipe),1.0
9154,Sorakkai Puli Kuzhambu Recipe - Tangy Bottle Gourd Curry,1.0
9155,Murungakkai Puli Kuzhambu Recipe -Spicy Drumstick Curry,1.0
4203,Seer Fish Fry Recipe,1.0
11449,Patiala Aloo Recipe,1.0
4211,Dum Murgh Aatishi Recipe - Spicy Smoked Chicken Recipe,1.0
1945,Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy,1.0
15845,Gujarati Dal Recipe - Sweet Tangy and Spicy Dal,1.0
4399,Serial recipe of radish leaves - South Indian Style Radish Greens Stir Fry (Recipe in Hindi),1.0
9378,Kerala Style Chemmeen Moilee Recipe - Prawn Curry,1.0
10987,And fish soup recipe - Bengali style fish in tomato gravy,1.0
4352,Kerala Kadala Curry Recipe - Spicy Chickpeas in Coconut Curry,1.0
1867,Chettinad Pattani Kurma Recipe - Chettinad Peas Curry,1.0
4358,Reshmi Kofta Recipe in Rich Cashew Gravy,1.0
10795,Bengali Aloo Potol er Dalna Recipe - A Traditional Vegetable Side Dish,1.0
9547,Spicy Coconut Peanut Stuffed Baby Brinjal Recipe,1.0
9560,Dal Banjara (Recipe In Hindi),1.0
9570,Prawn Masala Rice Recipe,1.0
10792,Moringa Masoor Dal Recipe - Drumstick Leaves Dal,1.0
16507,Soya Chunks Pepper Curry Recipe,1.0
1846,Paneer Kofta Curry Recipe -Non Fried,1.0
4877,Sundakkai And Methi Leaves Sambar Recipe,1.0
15913,Kashmiri Style Paneer Masala Recipe,1.0
10769,Andhra Style Bendakaya Charu Recipe - Ladies Finger Rasam,1.0
9573,Kashmiri Style Chokh Vangun Recipe - Baingan Masala,1.0
15914,Radish Leaves Pachadi Recipe,1.0
9580,Karnataka Style Sorakkai Palya Recipe - Karnataka Style Bottle Gourd Sabzi,1.0
1837,Moringa Masoor Dal Recipe - Drumstick Leaves Dal,1.0
15919,Aar Macher Jhol Recipe - Bengali Style Fish In Tomato Gravy,1.0
1338,Kashmiri Style Apple Tamatar Sabzi Recipe - No Onion No Garlic,1.0
10990,Spicy Crunchy Masala Idli Recipe,1.0
9517,Roasted Bell Pepper Rasam Recipe,1.0
9438,Batata Nu Shaak Recipe,1.0
11206,Poondu Milagu Kuzhambu Recipe - Tamilnadu Style Garlic and Black Pepper Curry,1.0
1932,North Indian Chawli ki Sabzi Recipe | Yard Long Beans | Barbati | Karamani,1.0
15853,Potala Rasa Recipe (Oriya Style Parval Sabzi),1.0
11186,Corn And Peas Curry Recipe,1.0
4298,Honey Paneer Recipe - Honey Paneer Recipe,1.0
1927,Kabuli Chana Rasam Recipe,1.0
9416,Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,1.0
11053,Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,1.0
9441,Carrot And Capsicum Mix Dal Recipe,1.0
9513,Sorakkai Puli Kuzhambu Recipe - Tangy Bottle Gourd Curry,1.0
1319,Kasuri Methi Chole Recipe,1.0
